Amount Requested,Application Date,Loan Title,Risk_Score,Debt-To-Income Ratio,Zip Code,State,Employment Length,Policy Code
1000,5/26/2007,Wedding Covered but No Honeymoon,693,10%,481xx,NM,4 years,0
1000,5/26/2007,Consolidating Debt,703,10%,010xx,MA,< 1 year,0
11000,5/27/2007,Want to consolidate my debt,715,10%,212xx,MD,1 year,0
6000,5/27/2007,waksman,698,38.64%,017xx,MA,< 1 year,0
1500,5/27/2007,mdrigo,509,9.43%,209xx,MD,< 1 year,0
15000,5/27/2007,Trinfiniti,645,0%,105xx,NY,3 years,0
10000,5/27/2007,NOTIFYi Inc,693,10%,210xx,MD,< 1 year,0
3900,5/27/2007,For Justin.,700,10%,469xx,IN,2 years,0
3000,5/28/2007,title?,694,10%,808xx,CO,4 years,0
2500,5/28/2007,timgerst,573,11.76%,407xx,KY,4 years,0
3900,5/28/2007,need to consolidate,710,10%,705xx,LA,10+ years,0
1000,5/28/2007,sixstrings,680,10%,424xx,KY,1 year,0
3000,5/28/2007,bmoore5110,688,10%,190xx,PA,< 1 year,0
1500,5/28/2007,MHarkins,704,10%,189xx,PA,3 years,0
1000,5/28/2007,Moving,694,10%,354xx,AL,< 1 year,0
8000,5/28/2007,Recent College Grad Wants to Pay Off CCs,708,10%,374xx,TN,< 1 year,0
12000,5/29/2007,FoundersCafe.com,685,10%,770xx,TX,3 years,0
1000,5/29/2007,UChicago2004,698,10%,207xx,MD,3 years,0
15000,5/29/2007,Cancer is Killing My Credit,680,10%,432xx,OH,< 1 year,0
5000,5/29/2007,2006-2007 College Debt Loan,680,10%,011xx,MA,< 1 year,0
15000,5/29/2007,twbmc,712,10%,773xx,TX,< 1 year,0
5000,5/29/2007,Bills & Vacation,704,10%,212xx,MD,1 year,0
4950,5/29/2007,Vehicle Purchase/Used Auto,693,10%,220xx,VA,2 years,0
6100,5/29/2007,thejanman,684,24.69%,453xx,OH,2 years,0
12000,5/29/2007,Finish Off College,704,10%,462xx,IN,2 years,0
25000,5/29/2007,Phuocpnn,686,10%,631xx,MO,< 1 year,0
15000,5/29/2007,Established borrower consolodating debt,698,15.56%,559xx,MN,< 1 year,0
5000,5/29/2007,mainmanandy,719,10%,457xx,OH,< 1 year,0
10000,5/30/2007,Jaguar10301,602,2.25%,221xx,VA,< 1 year,0
10000,5/30/2007,rpinho78,475,21.77%,061xx,CT,< 1 year,0
1000,5/30/2007,ashtru,695,0%,443xx,OH,< 1 year,0
4000,5/30/2007,sparks,671,36.80%,630xx,MO,< 1 year,0
7000,5/30/2007,big fat lender,638,17.73%,941xx,CA,< 1 year,0
